"id","il","ilce","isim"
"77103","77 YALOVA","Çınarcık","Çınarcık Malmüdürlüğü"
"78201","78 KARABÜK","Merkez","Karabük Vergi Dairesi Müdürlüğü"
"78260","78 KARABÜK","Safranbolu","Safranbolu Vergi Dairesi Müdürlüğü"
"78101","78 KARABÜK","Eflani","Eflani Malmüdürlüğü"
"78102","78 KARABÜK","Eskipazar","Eskipazar Malmüdürlüğü"
"78103","78 KARABÜK","Ovacık","Ovacık Malmüdürlüğü"
"78105","78 KARABÜK","Yenice","Yenice Malmüdürlüğü"
"79201","79 KİLİS","Merkez","Kilis Vergi Dairesi Müdürlüğü"
"80201","80 OSMANİYE","Merkez","Osmaniye Vergi Dairesi Müdürlüğü"
"80260","80 OSMANİYE","Kadirli","Kadirli Vergi Dairesi Müdürlüğü"
"80101","80 OSMANİYE","Bahçe","Bahçe  Malmüdürlüğü"
"80102","80 OSMANİYE","Düziçi","Düziçi Malmüdürlüğü"
"80104","80 OSMANİYE","Hasanbeyli","Hasanbeyli Malmüdürlüğü"
"80105","80 OSMANİYE","Sumbas","Sumbas Malmüdürlüğü"
"80106","80 OSMANİYE","Toprakkale","Toprakkale Malmüdürlüğü"
"81260","81 DÜZCE","Merkez","Düzce Vergi Dairesi Müdürlüğü"
"81261","81 DÜZCE","Akçakoca","Akçakoca Vergi Dairesi Müdürlüğü"
"81102","81 DÜZCE","Cumayeri","Cumayeri Malmüdürlüğü"
"81103","81 DÜZCE","Çilimli","Çilimli Malmüdürlüğü"
"81104","81 DÜZCE","Gölyaka","Gölyaka Malmüdürlüğü"
"81105","81 DÜZCE","Gümüşova","Gümüşova Malmüdürlüğü"
"81106","81 DÜZCE","Kaynaşlı","Kaynaşlı Malmüdürlüğü"
"81107","81 DÜZCE","Yığılca","Yığılca Malmüdürlüğü"
